klientscape Pvt. Ltd
VAT NO123456789
LEDGER JOURNAL
FROM:2017-12-16	To:2017-12-21
Date, Invoice No, Customer Name, Customer Pan, Total, Tax Exempt Sales, Zero Rated Sales, Taxable Amount, Vat Amount
2017-12-18 11:13:24, 18-61, , 0, 0, 0, 1100, 143
2017-12-18 12:15:04, 18-62, Sugen, 0, 0, 0, 990, 128.71
2017-12-18 14:23:50, 18-63, , 0, 0, 0, 220, 28.6
2017-12-20 14:39:54, 18-64, , 0, 0, 0, 198, 25.74
2017-12-20 14:41:43, 18-65, , 0, 0, 0, 0, 0
2017-12-20 14:43:22, 18-66, , 0, 0, 0, 0, 0
2017-12-20 14:47:08, 18-67, , 0, 0, 0, 1395.9, 181.47
2017-12-20 14:49:10, 18-68, , 0, 0, 0, 198, 25.74
2017-12-20 14:50:39, 18-69, , 0, 0, 0, 2288, 297.44
2017-12-20 14:54:11, 18-70, , 0, 0, 0, 4576, 594.88
2017-12-20 14:59:05, 18-71, , 0, 0, 0, 4576, 594.88
2017-12-20 15:01:12, 18-72, , 0, 0, 0, 0, 0
2017-12-20 15:06:48, 18-73, , 0, 0, 0, 418, 54.34
2017-12-20 16:10:27, 18-74, , 0, 0, 0, 693, 90.09
2017-12-20 16:39:41, 18-75, Df, 123123, 0, 0, 165, 21.45
2017-12-20 16:39:42, 18-76, Asdfasdf, 12321, 0, 0, 440, 57.2
2017-12-20 16:55:18, 18-77, , 0, 0, 0, 500.5, 65.07
2017-12-20 16:55:19, 18-78, , 0, 0, 0, 1787.5, 232.38
2017-12-20 16:56:22, 18-79, Sugen, 12354, 0, 0, 418, 54.34
2017-12-20 16:56:23, 18-80, Promish, 9876, 0, 0, 1402.5, 182.33
2017-12-20 17:03:27, 18-82, Promish, 987867, 0, 0, 467.5, 60.78
2017-12-20 17:03:27, 18-81, Sugen, 1234, 0, 0, 1820.5, 236.67
2017-12-21 14:52:29, Sales Return Invoice 18-81, Sugen, 1234, 0, 0, 1820.5, 236.67
2017-12-21 14:53:15, Sales Return Invoice 18-82, Promish, 987867, 0, 0, 467.5, 60.78
2017-12-21 14:53:51, Sales Return Invoice 18-80, Promish, 9876, 0, 0, 1402.5, 182.33
2017-12-21 14:55:00, Sales Return Invoice 18-79, Sugen, 12354, 0, 0, 418, 54.34
